[14 Oct] 03:29:36 | INFO | Iteration #1
[14 Oct] 03:32:29 | INFO | Page #6  Lot #52
[14 Oct] 03:32:29 | INFO | Page #6  Lot #53
[14 Oct] 03:32:30 | INFO | Page #6  Lot #54
[14 Oct] 03:32:30 | INFO | Page #6  Lot #55
[14 Oct] 03:32:30 | INFO | Page #6  Lot #56
[14 Oct] 03:32:31 | INFO | Page #6  Lot #57
[14 Oct] 03:32:31 | INFO | Page #6  Lot #58
[14 Oct] 03:32:31 | INFO | Page #6  Lot #59
[14 Oct] 03:32:32 | INFO | Page #6  Lot #60
[14 Oct] 03:32:35 | INFO | Page #7  Lot #61
[14 Oct] 03:32:35 | INFO | Page #7  Lot #62
[14 Oct] 03:32:36 | INFO | Page #7  Lot #63
[14 Oct] 03:32:36 | INFO | Page #7  Lot #64
[14 Oct] 03:32:36 | INFO | Page #7  Lot #65
[14 Oct] 03:32:37 | INFO | Page #7  Lot #66
[14 Oct] 03:32:37 | INFO | Page #7  Lot #67
[14 Oct] 03:32:37 | INFO | Page #7  Lot #68
[14 Oct] 03:32:38 | INFO | Page #7  Lot #69
[14 Oct] 03:32:38 | INFO | Page #7  Lot #70
[14 Oct] 03:32:41 | INFO | Page #8  Lot #71
[14 Oct] 03:32:41 | INFO | Page #8  Lot #72
[14 Oct] 03:32:42 | INFO | Page #8  Lot #73
[14 Oct] 03:32:42 | INFO | Page #8  Lot #74
[14 Oct] 03:32:42 | INFO | Page #8  Lot #75
[14 Oct] 03:32:43 | INFO | Page #8  Lot #76
[14 Oct] 03:32:43 | INFO | Page #8  Lot #77
[14 Oct] 03:32:43 | INFO | Page #8  Lot #78
[14 Oct] 03:32:44 | INFO | Page #8  Lot #79
[14 Oct] 03:32:44 | INFO | Page #8  Lot #80
[14 Oct] 03:32:47 | INFO | Page #9  Lot #81
[14 Oct] 03:32:47 | INFO | Page #9  Lot #82
[14 Oct] 03:32:47 | INFO | Page #9  Lot #83
[14 Oct] 03:32:48 | INFO | Page #9  Lot #84
[14 Oct] 03:32:48 | INFO | Page #9  Lot #85
[14 Oct] 03:32:48 | INFO | Page #9  Lot #86
[14 Oct] 03:32:49 | INFO | Page #9  Lot #87
[14 Oct] 03:32:49 | INFO | Page #9  Lot #88
[14 Oct] 03:32:49 | INFO | Page #9  Lot #89
[14 Oct] 03:32:50 | INFO | Page #9  Lot #90
[14 Oct] 03:32:51 | INFO | Page #10  Lot #91
[14 Oct] 03:32:51 | INFO | Page #10  Lot #92
[14 Oct] 03:32:52 | INFO | Page #10  Lot #93
[14 Oct] 03:32:52 | INFO | Page #10  Lot #94
[14 Oct] 03:32:52 | INFO | Page #10  Lot #95
[14 Oct] 03:32:53 | INFO | Page #10  Lot #96
[14 Oct] 03:32:53 | INFO | Page #10  Lot #97
[14 Oct] 03:32:53 | INFO | Page #10  Lot #98
[14 Oct] 03:32:54 | INFO | Page #10  Lot #99
[14 Oct] 03:32:54 | INFO | Page #10  Lot #100
[14 Oct] 03:33:58 | INFO | Iteration #3

[14 Oct] 03:34:07 | INFO | Page #1  Lot #1
[14 Oct] 03:34:08 | INFO | Page #1  Lot #2
[14 Oct] 03:34:08 | INFO | Page #1  Lot #3
[14 Oct] 03:34:08 | INFO | Page #1  Lot #4
[14 Oct] 03:34:09 | INFO | Page #1  Lot #5
[14 Oct] 03:34:09 | INFO | Page #1  Lot #6
[14 Oct] 03:34:09 | INFO | Page #1  Lot #7
[14 Oct] 03:34:10 | INFO | Page #1  Lot #8
[14 Oct] 03:34:10 | INFO | Page #1  Lot #9
[14 Oct] 03:34:10 | INFO | Page #1  Lot #10
[14 Oct] 03:34:21 | ERROR | Scaping error 
Message: 
Stacktrace:
	GetHandleVerifier [0x00007FF64A7C8EF2+54786]
	(No symbol) [0x00007FF64A735612]
	(No symbol) [0x00007FF64A5EA64B]
	(No symbol) [0x00007FF64A62B79C]
	(No symbol) [0x00007FF64A62B91C]
	(No symbol) [0x00007FF64A666D87]
	(No symbol) [0x00007FF64A64BEAF]
	(No symbol) [0x00007FF64A664D02]
	(No symbol) [0x00007FF64A64BC43]
	(No symbol) [0x00007FF64A620941]
	(No symbol) [0x00007FF64A621B84]
	GetHandleVerifier [0x00007FF64AB17F52+3524194]
	GetHandleVerifier [0x00007FF64AB6D800+3874576]
	GetHandleVerifier [0x00007FF64AB65D7F+3843215]
	GetHandleVerifier [0x00007FF64A865086+694166]
	(No symbol) [0x00007FF64A740A88]
	(No symbol) [0x00007FF64A73CA94]
	(No symbol) [0x00007FF64A73CBC2]
	(No symbol) [0x00007FF64A72CC83]
	BaseThreadInitThunk [0x00007FFBF5F27344+20]
	RtlUserThreadStart [0x00007FFBF73826B1+33]

[14 Oct] 03:35:21 | INFO | Iteration #4

[14 Oct] 03:35:29 | INFO | Page #1  Lot #1
[14 Oct] 03:35:30 | INFO | Page #1  Lot #2
[14 Oct] 03:35:30 | INFO | Page #1  Lot #3
[14 Oct] 03:35:31 | INFO | Page #1  Lot #4
[14 Oct] 03:35:31 | INFO | Page #1  Lot #5
[14 Oct] 03:35:31 | INFO | Page #1  Lot #6
[14 Oct] 03:35:32 | INFO | Page #1  Lot #7
[14 Oct] 03:35:32 | INFO | Page #1  Lot #8
[14 Oct] 03:35:32 | INFO | Page #1  Lot #9
[14 Oct] 03:35:33 | INFO | Page #1  Lot #10
[14 Oct] 03:35:35 | INFO | Page #2  Lot #11
[14 Oct] 03:35:35 | INFO | Page #2  Lot #12
[14 Oct] 03:35:35 | INFO | Page #2  Lot #13
[14 Oct] 03:35:36 | INFO | Page #2  Lot #14
[14 Oct] 03:35:36 | INFO | Page #2  Lot #15
[14 Oct] 03:35:36 | INFO | Page #2  Lot #16
[14 Oct] 03:35:37 | INFO | Page #2  Lot #17
[14 Oct] 03:35:37 | INFO | Page #2  Lot #18
[14 Oct] 03:35:37 | INFO | Page #2  Lot #19
[14 Oct] 03:35:38 | INFO | Page #2  Lot #20
[14 Oct] 03:35:42 | INFO | Page #3  Lot #21
[14 Oct] 03:35:42 | INFO | Page #3  Lot #22
[14 Oct] 03:35:43 | INFO | Page #3  Lot #23
[14 Oct] 03:35:43 | INFO | Page #3  Lot #24
[14 Oct] 03:35:43 | INFO | Page #3  Lot #25
[14 Oct] 03:35:44 | INFO | Page #3  Lot #26
[14 Oct] 03:35:44 | INFO | Page #3  Lot #27
[14 Oct] 03:35:44 | INFO | Page #3  Lot #28
[14 Oct] 03:35:45 | INFO | Page #3  Lot #29
[14 Oct] 03:35:45 | INFO | Page #3  Lot #30
[14 Oct] 03:35:53 | INFO | Page #4  Lot #31
[14 Oct] 03:35:53 | INFO | Page #4  Lot #32
[14 Oct] 03:35:53 | INFO | Page #4  Lot #33
[14 Oct] 03:35:54 | INFO | Page #4  Lot #34
[14 Oct] 03:35:54 | INFO | Page #4  Lot #35
[14 Oct] 03:35:54 | INFO | Page #4  Lot #36
[14 Oct] 03:35:55 | INFO | Page #4  Lot #37
[14 Oct] 03:35:55 | INFO | Page #4  Lot #38
[14 Oct] 03:35:55 | INFO | Page #4  Lot #39
[14 Oct] 03:35:56 | INFO | Page #4  Lot #40
[14 Oct] 03:35:57 | INFO | Page #5  Lot #41
[14 Oct] 03:35:57 | INFO | Page #5  Lot #42
[14 Oct] 03:35:58 | INFO | Page #5  Lot #43
[14 Oct] 03:35:58 | INFO | Page #5  Lot #44
[14 Oct] 03:35:58 | INFO | Page #5  Lot #45
[14 Oct] 03:35:59 | INFO | Page #5  Lot #46
[14 Oct] 03:35:59 | INFO | Page #5  Lot #47
[14 Oct] 03:36:00 | INFO | Page #5  Lot #48
[14 Oct] 03:36:00 | INFO | Page #5  Lot #49
[14 Oct] 03:36:00 | INFO | Page #5  Lot #50
[14 Oct] 03:36:03 | INFO | Page #6  Lot #51
[14 Oct] 03:36:03 | INFO | Page #6  Lot #52
[14 Oct] 03:36:03 | INFO | Page #6  Lot #53
[14 Oct] 03:36:04 | INFO | Page #6  Lot #54
[14 Oct] 03:36:04 | INFO | Page #6  Lot #55
[14 Oct] 03:36:04 | INFO | Page #6  Lot #56
[14 Oct] 03:36:05 | INFO | Page #6  Lot #57
[14 Oct] 03:36:05 | INFO | Page #6  Lot #58
[14 Oct] 03:36:05 | INFO | Page #6  Lot #59
[14 Oct] 03:36:06 | INFO | Page #6  Lot #60
[14 Oct] 03:36:07 | INFO | Page #7  Lot #61
[14 Oct] 03:36:07 | INFO | Page #7  Lot #62
[14 Oct] 03:36:08 | INFO | Page #7  Lot #63
[14 Oct] 03:36:08 | INFO | Page #7  Lot #64
[14 Oct] 03:36:09 | INFO | Page #7  Lot #65
[14 Oct] 03:36:09 | INFO | Page #7  Lot #66
[14 Oct] 03:36:09 | INFO | Page #7  Lot #67
[14 Oct] 03:36:10 | INFO | Page #7  Lot #68
[14 Oct] 03:36:10 | INFO | Page #7  Lot #69
[14 Oct] 03:36:10 | INFO | Page #7  Lot #70
[14 Oct] 03:36:13 | INFO | Page #8  Lot #71
[14 Oct] 03:36:14 | INFO | Page #8  Lot #72
[14 Oct] 03:36:14 | INFO | Page #8  Lot #73
[14 Oct] 03:36:14 | INFO | Page #8  Lot #74
[14 Oct] 03:36:15 | INFO | Page #8  Lot #75
[14 Oct] 03:36:15 | INFO | Page #8  Lot #76
[14 Oct] 03:36:15 | INFO | Page #8  Lot #77
[14 Oct] 03:36:16 | INFO | Page #8  Lot #78
[14 Oct] 03:36:16 | INFO | Page #8  Lot #79
[14 Oct] 03:36:16 | INFO | Page #8  Lot #80
[14 Oct] 03:36:18 | INFO | Page #9  Lot #81
[14 Oct] 03:36:18 | INFO | Page #9  Lot #82
[14 Oct] 03:36:18 | INFO | Page #9  Lot #83
[14 Oct] 03:36:19 | INFO | Page #9  Lot #84
[14 Oct] 03:36:19 | INFO | Page #9  Lot #85
[14 Oct] 03:36:19 | INFO | Page #9  Lot #86
[14 Oct] 03:36:20 | INFO | Page #9  Lot #87
[14 Oct] 03:36:20 | INFO | Page #9  Lot #88
[14 Oct] 03:36:20 | INFO | Page #9  Lot #89
[14 Oct] 03:36:21 | INFO | Page #9  Lot #90
[14 Oct] 03:36:23 | INFO | Page #10  Lot #91
[14 Oct] 03:36:23 | INFO | Page #10  Lot #92
[14 Oct] 03:36:23 | INFO | Page #10  Lot #93
[14 Oct] 03:36:24 | INFO | Page #10  Lot #94
[14 Oct] 03:36:24 | INFO | Page #10  Lot #95
[14 Oct] 03:36:24 | INFO | Page #10  Lot #96
[14 Oct] 03:36:25 | INFO | Page #10  Lot #97
[14 Oct] 03:36:25 | INFO | Page #10  Lot #98
[14 Oct] 03:36:25 | INFO | Page #10  Lot #99
[14 Oct] 03:36:26 | INFO | Page #10  Lot #100
[14 Oct] 03:37:27 | INFO | Iteration #5

[14 Oct] 03:37:36 | INFO | Page #1  Lot #1
[14 Oct] 03:37:36 | INFO | Page #1  Lot #2
[14 Oct] 03:37:37 | INFO | Page #1  Lot #3
[14 Oct] 03:37:37 | INFO | Page #1  Lot #4
[14 Oct] 03:37:37 | INFO | Page #1  Lot #5
[14 Oct] 03:37:38 | INFO | Page #1  Lot #6
[14 Oct] 03:37:38 | INFO | Page #1  Lot #7
[14 Oct] 03:37:39 | INFO | Page #1  Lot #8
[14 Oct] 03:37:39 | INFO | Page #1  Lot #9
[14 Oct] 03:37:39 | INFO | Page #1  Lot #10
[14 Oct] 03:37:49 | ERROR | Scaping error 
Message: 
Stacktrace:
	GetHandleVerifier [0x00007FF64A7C8EF2+54786]
	(No symbol) [0x00007FF64A735612]
	(No symbol) [0x00007FF64A5EA64B]
	(No symbol) [0x00007FF64A62B79C]
	(No symbol) [0x00007FF64A62B91C]
	(No symbol) [0x00007FF64A666D87]
	(No symbol) [0x00007FF64A64BEAF]
	(No symbol) [0x00007FF64A664D02]
	(No symbol) [0x00007FF64A64BC43]
	(No symbol) [0x00007FF64A620941]
	(No symbol) [0x00007FF64A621B84]
	GetHandleVerifier [0x00007FF64AB17F52+3524194]
	GetHandleVerifier [0x00007FF64AB6D800+3874576]
	GetHandleVerifier [0x00007FF64AB65D7F+3843215]
	GetHandleVerifier [0x00007FF64A865086+694166]
	(No symbol) [0x00007FF64A740A88]
	(No symbol) [0x00007FF64A73CA94]
	(No symbol) [0x00007FF64A73CBC2]
	(No symbol) [0x00007FF64A72CC83]
	BaseThreadInitThunk [0x00007FFBF5F27344+20]
	RtlUserThreadStart [0x00007FFBF73826B1+33]

[14 Oct] 03:38:49 | INFO | Iteration #6

[14 Oct] 03:38:58 | INFO | Page #1  Lot #1
[14 Oct] 03:38:59 | INFO | Page #1  Lot #2
[14 Oct] 03:38:59 | INFO | Page #1  Lot #3
[14 Oct] 03:38:59 | INFO | Page #1  Lot #4
[14 Oct] 03:39:00 | INFO | Page #1  Lot #5
[14 Oct] 03:39:00 | INFO | Page #1  Lot #6
[14 Oct] 03:39:00 | INFO | Page #1  Lot #7
[14 Oct] 03:39:01 | INFO | Page #1  Lot #8
[14 Oct] 03:39:01 | INFO | Page #1  Lot #9
[14 Oct] 03:39:01 | INFO | Page #1  Lot #10
[14 Oct] 03:39:03 | INFO | Page #2  Lot #11
[14 Oct] 03:39:04 | INFO | Page #2  Lot #12
[14 Oct] 03:39:04 | INFO | Page #2  Lot #13
[14 Oct] 03:39:04 | INFO | Page #2  Lot #14
[14 Oct] 03:39:05 | INFO | Page #2  Lot #15
[14 Oct] 03:39:05 | INFO | Page #2  Lot #16
[14 Oct] 03:39:05 | INFO | Page #2  Lot #17
[14 Oct] 03:39:06 | INFO | Page #2  Lot #18
[14 Oct] 03:39:06 | INFO | Page #2  Lot #19
[14 Oct] 03:39:06 | INFO | Page #2  Lot #20
[14 Oct] 03:39:09 | INFO | Page #3  Lot #21
[14 Oct] 03:39:09 | INFO | Page #3  Lot #22
[14 Oct] 03:39:09 | INFO | Page #3  Lot #23
[14 Oct] 03:39:10 | INFO | Page #3  Lot #24
[14 Oct] 03:39:10 | INFO | Page #3  Lot #25
[14 Oct] 03:39:11 | INFO | Page #3  Lot #26
[14 Oct] 03:39:11 | INFO | Page #3  Lot #27
[14 Oct] 03:39:11 | INFO | Page #3  Lot #28
[14 Oct] 03:39:12 | INFO | Page #3  Lot #29
[14 Oct] 03:39:12 | INFO | Page #3  Lot #30
[14 Oct] 03:39:14 | INFO | Page #4  Lot #31
[14 Oct] 03:39:14 | INFO | Page #4  Lot #32
[14 Oct] 03:39:14 | INFO | Page #4  Lot #33
[14 Oct] 03:39:15 | INFO | Page #4  Lot #34
[14 Oct] 03:39:15 | INFO | Page #4  Lot #35
[14 Oct] 03:39:16 | INFO | Page #4  Lot #36
[14 Oct] 03:39:16 | INFO | Page #4  Lot #37
[14 Oct] 03:39:16 | INFO | Page #4  Lot #38
[14 Oct] 03:39:17 | INFO | Page #4  Lot #39
[14 Oct] 03:39:17 | INFO | Page #4  Lot #40
[14 Oct] 03:39:19 | INFO | Page #5  Lot #41
[14 Oct] 03:39:20 | INFO | Page #5  Lot #42
[14 Oct] 03:39:20 | INFO | Page #5  Lot #43
[14 Oct] 03:39:20 | INFO | Page #5  Lot #44
[14 Oct] 03:39:21 | INFO | Page #5  Lot #45
[14 Oct] 03:39:21 | INFO | Page #5  Lot #46
[14 Oct] 03:39:21 | INFO | Page #5  Lot #47
[14 Oct] 03:39:22 | INFO | Page #5  Lot #48
[14 Oct] 03:39:22 | INFO | Page #5  Lot #49
[14 Oct] 03:39:22 | INFO | Page #5  Lot #50
[14 Oct] 03:39:26 | INFO | Page #6  Lot #51
[14 Oct] 03:39:27 | INFO | Page #6  Lot #52
[14 Oct] 03:39:27 | INFO | Page #6  Lot #53
[14 Oct] 03:39:27 | INFO | Page #6  Lot #54
[14 Oct] 03:39:28 | INFO | Page #6  Lot #55
[14 Oct] 03:39:28 | INFO | Page #6  Lot #56
[14 Oct] 03:39:28 | INFO | Page #6  Lot #57
[14 Oct] 03:39:29 | INFO | Page #6  Lot #58
[14 Oct] 03:39:29 | INFO | Page #6  Lot #59
[14 Oct] 03:39:29 | INFO | Page #6  Lot #60
[14 Oct] 03:39:32 | INFO | Page #7  Lot #61
[14 Oct] 03:39:33 | INFO | Page #7  Lot #62
[14 Oct] 03:39:33 | INFO | Page #7  Lot #63
[14 Oct] 03:39:33 | INFO | Page #7  Lot #64
[14 Oct] 03:39:34 | INFO | Page #7  Lot #65
[14 Oct] 03:39:34 | INFO | Page #7  Lot #66
[14 Oct] 03:39:34 | INFO | Page #7  Lot #67
[14 Oct] 03:39:35 | INFO | Page #7  Lot #68
[14 Oct] 03:39:35 | INFO | Page #7  Lot #69
[14 Oct] 03:39:35 | INFO | Page #7  Lot #70
[14 Oct] 03:39:37 | INFO | Page #8  Lot #71
[14 Oct] 03:39:38 | INFO | Page #8  Lot #72
[14 Oct] 03:39:38 | INFO | Page #8  Lot #73
[14 Oct] 03:39:38 | INFO | Page #8  Lot #74
[14 Oct] 03:39:39 | INFO | Page #8  Lot #75
[14 Oct] 03:39:39 | INFO | Page #8  Lot #76
[14 Oct] 03:39:39 | INFO | Page #8  Lot #77
[14 Oct] 03:39:40 | INFO | Page #8  Lot #78
[14 Oct] 03:39:40 | INFO | Page #8  Lot #79
[14 Oct] 03:39:40 | INFO | Page #8  Lot #80
[14 Oct] 03:39:43 | INFO | Page #9  Lot #81
[14 Oct] 03:39:43 | INFO | Page #9  Lot #82
[14 Oct] 03:39:44 | INFO | Page #9  Lot #83
[14 Oct] 03:39:44 | INFO | Page #9  Lot #84
[14 Oct] 03:39:44 | INFO | Page #9  Lot #85
[14 Oct] 03:39:45 | INFO | Page #9  Lot #86
[14 Oct] 03:39:45 | INFO | Page #9  Lot #87
[14 Oct] 03:39:45 | INFO | Page #9  Lot #88
[14 Oct] 03:39:46 | INFO | Page #9  Lot #89
[14 Oct] 03:39:46 | INFO | Page #9  Lot #90
[14 Oct] 03:39:48 | INFO | Page #10  Lot #91
[14 Oct] 03:39:49 | INFO | Page #10  Lot #92
[14 Oct] 03:39:49 | INFO | Page #10  Lot #93
[14 Oct] 03:39:49 | INFO | Page #10  Lot #94
[14 Oct] 03:39:50 | INFO | Page #10  Lot #95
[14 Oct] 03:39:50 | INFO | Page #10  Lot #96
[14 Oct] 03:39:50 | INFO | Page #10  Lot #97
[14 Oct] 03:39:51 | INFO | Page #10  Lot #98
[14 Oct] 03:39:51 | INFO | Page #10  Lot #99
[14 Oct] 03:39:52 | INFO | Page #10  Lot #100
[14 Oct] 03:40:54 | INFO | Iteration #7

[14 Oct] 03:41:03 | INFO | Page #1  Lot #1
[14 Oct] 03:41:03 | INFO | Page #1  Lot #2
[14 Oct] 03:41:04 | INFO | Page #1  Lot #3
